,error
Q,Q: no data
XYL,XYL: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
YUM,YUM: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
ZBRA,ZBRA: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
ZBH,ZBH: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
ZTS,"ZTS: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
SPY,SPY: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
XOP,XOP: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
XLE,XLE: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
USO,USO: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
DBC,DBC: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
GLD,GLD: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
JETS,JETS: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
PEJ,PEJ: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
VNQ,VNQ: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
IYR,IYR: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
HYG,HYG: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
JNK,JNK: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
ANGL,ANGL: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
DVY,DVY: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
VYM,VYM: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
SDIV,SDIV: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
EMB,EMB: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
HYEM,HYEM: non-csv response status=200 ct=text/plain; charset=UTF-8 head='exceeded the daily hits limit'
